INBOUND_DATE,PLANT_NAME,MATERIAL_NAME,DATE,Quantity_KT_In
2024-07-16,CHINA-WAREHOUSE,MAT-0156,2024-07-16,24.75
2024-07-16,CHINA-WAREHOUSE,MAT-0156,2024-07-16,24.75
2024-07-16,CHINA-WAREHOUSE,MAT-0156,2024-07-16,24.75
2024-07-16,CHINA-WAREHOUSE,MAT-0156,2024-07-16,6.875
2024-07-16,CHINA-WAREHOUSE,MAT-0156,2024-07-16,17.875
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,23.375
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,23.375
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,23.375
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,6.875
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,16.5
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,23.375
2024-01-11,CHINA-WAREHOUSE,MAT-0112,2024-01-11,23.375
2024-04-22,CHINA-WAREHOUSE,MAT-0158,2024-04-22,25.5
2024-08-17,CHINA-WAREHOUSE,MAT-0166,2024-08-17,22.5
2024-08-17,CHINA-WAREHOUSE,MAT-0166,2024-08-17,22.5
2024-08-17,CHINA-WAREHOUSE,MAT-0166,2024-08-17,22.5
2024-08-17,CHINA-WAREHOUSE,MAT-0166,2024-08-17,21.15
2024-08-21,CHINA-WAREHOUSE,MAT-0266,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0266,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0266,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0266,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0232,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0232,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0232,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0232,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0232,2024-08-21,24.75
2024-08-21,CHINA-WAREHOUSE,MAT-0232,2024-08-21,24.75
2024-09-21,CHINA-WAREHOUSE,MAT-0266,2024-09-21,24.75
2024-09-21,CHINA-WAREHOUSE,MAT-0266,2024-09-21,24.75
2024-09-21,CHINA-WAREHOUSE,MAT-0266,2024-09-21,24.75
2024-10-18,CHINA-WAREHOUSE,MAT-0314,2024-10-18,25.5
2024-10-18,CHINA-WAREHOUSE,MAT-0314,2024-10-18,25.5
2024-10-18,CHINA-WAREHOUSE,MAT-0314,2024-10-18,25.5
2024-10-18,CHINA-WAREHOUSE,MAT-0314,2024-10-18,25.5
2024-10-18,CHINA-WAREHOUSE,MAT-0118,2024-10-18,24.75
2024-10-18,CHINA-WAREHOUSE,MAT-0118,2024-10-18,24.75
2024-10-18,CHINA-WAREHOUSE,MAT-0118,2024-10-18,24.75
2024-10-18,CHINA-WAREHOUSE,MAT-0118,2024-10-18,24.75
2024-12-08,CHINA-WAREHOUSE,MAT-0428,2024-12-08,24.75
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,5.5
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,19.25
2023-11-03,CHINA-WAREHOUSE,MAT-0237,2023-11-03,24.75
