BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,STOCK_SELL_VALUE,CURRENCY,DATE,Quantity_KT_Inventory
2023-12-31,CHINA-WAREHOUSE,MAT-0045,SCRAP,211,CNY,2023-12-31,0.000164
2023-12-31,CHINA-WAREHOUSE,MAT-0193,6024,87666,CNY,2023-12-31,0.0
2023-12-31,CHINA-WAREHOUSE,MAT-0193,5755,414419,CNY,2023-12-31,0.07072
2023-12-31,CHINA-WAREHOUSE,MAT-0193,3142,71726,CNY,2023-12-31,0.01224
2023-12-31,CHINA-WAREHOUSE,MAT-0193,6734,15939,CNY,2023-12-31,0.00272
2023-12-31,CHINA-WAREHOUSE,MAT-0311,SCRAP,25018,CNY,2023-12-31,0.004142
2023-12-31,CHINA-WAREHOUSE,MAT-0374,5995C5416,6430,CNY,2023-12-31,0.001
2023-12-31,CHINA-WAREHOUSE,MAT-0374,8466C2971,97254,CNY,2023-12-31,0.015125
2023-12-31,CHINA-WAREHOUSE,MAT-0374,8143C2373,212029,CNY,2023-12-31,0.032975
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9532,97254,CNY,2023-12-31,0.015125
2023-12-31,CHINA-WAREHOUSE,MAT-0046,7952,135191,CNY,2023-12-31,0.021025
2023-12-31,CHINA-WAREHOUSE,MAT-0046,4374,15432,CNY,2023-12-31,0.0024
2023-12-31,CHINA-WAREHOUSE,MAT-0046,5785,141460,CNY,2023-12-31,0.022
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9155,318285,CNY,2023-12-31,0.0495
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9578,318285,CNY,2023-12-31,0.0495
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9275,159143,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0046,4895,159143,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0046,8398,159143,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0046,3129,472927,CNY,2023-12-31,0.07355
2023-12-31,CHINA-WAREHOUSE,MAT-0046,4463,95486,CNY,2023-12-31,0.01485
2023-12-31,CHINA-WAREHOUSE,MAT-0046,1412,456691,CNY,2023-12-31,0.071025
2023-12-31,CHINA-WAREHOUSE,MAT-0046,1236,176825,CNY,2023-12-31,0.0275
2023-12-31,CHINA-WAREHOUSE,MAT-0046,5610,379852,CNY,2023-12-31,0.059075
2023-12-31,CHINA-WAREHOUSE,MAT-0046,3126,226497,CNY,2023-12-31,0.035225
2023-12-31,CHINA-WAREHOUSE,MAT-0046,7679,539316,CNY,2023-12-31,0.083875
2023-12-31,CHINA-WAREHOUSE,MAT-0046,3347,344809,CNY,2023-12-31,0.053625
2023-12-31,CHINA-WAREHOUSE,MAT-0046,2920,477428,CNY,2023-12-31,0.07425
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9044,16557,CNY,2023-12-31,0.002575
2023-12-31,CHINA-WAREHOUSE,MAT-0046,6216,70569,CNY,2023-12-31,0.010975
2023-12-31,CHINA-WAREHOUSE,MAT-0046,2754,300603,CNY,2023-12-31,0.04675
2023-12-31,CHINA-WAREHOUSE,MAT-0046,8648,88413,CNY,2023-12-31,0.01375
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9511,159143,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0194,SCRAP,314,CNY,2023-12-31,0.0001
2023-12-31,CHINA-WAREHOUSE,MAT-0257,SCRAP,10457,CNY,2023-12-31,0.005151
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8366,47728,CNY,2023-12-31,0.0097
2023-12-31,CHINA-WAREHOUSE,MAT-0195,7680,3768,CNY,2023-12-31,0.0012
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8508,151034,CNY,2023-12-31,0.0481
2023-12-31,CHINA-WAREHOUSE,MAT-0195,6058,77715,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8887,418562,CNY,2023-12-31,0.1333
2023-12-31,CHINA-WAREHOUSE,MAT-0195,6938,138160,CNY,2023-12-31,0.044
2023-12-31,CHINA-WAREHOUSE,MAT-0195,5314,155038,CNY,2023-12-31,0.049375
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8293,76067,CNY,2023-12-31,0.024225
2023-12-31,CHINA-WAREHOUSE,MAT-0195,2156,47493,CNY,2023-12-31,0.015125
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8759,172543,CNY,2023-12-31,0.05495
2023-12-31,CHINA-WAREHOUSE,MAT-0195,6259,155038,CNY,2023-12-31,0.049375
2023-12-31,CHINA-WAREHOUSE,MAT-0082,3959A,3839,CNY,2023-12-31,0.00045
2023-12-31,CHINA-WAREHOUSE,MAT-0082,5148A,10236,CNY,2023-12-31,0.0012
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7082A,8104,CNY,2023-12-31,0.00095
2023-12-31,CHINA-WAREHOUSE,MAT-0082,2284A,181049,CNY,2023-12-31,0.021225
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7764A,277225,CNY,2023-12-31,0.0325
2023-12-31,CHINA-WAREHOUSE,MAT-0082,5718A,213250,CNY,2023-12-31,0.025
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7449A,21325,CNY,2023-12-31,0.0025
2023-12-31,CHINA-WAREHOUSE,MAT-0082,4475A,821013,CNY,2023-12-31,0.09625
2023-12-31,CHINA-WAREHOUSE,MAT-0082,8172A,863663,CNY,2023-12-31,0.10125
2023-12-31,CHINA-WAREHOUSE,MAT-0082,9329A,862810,CNY,2023-12-31,0.10115
2023-12-31,CHINA-WAREHOUSE,MAT-0082,5192A,159938,CNY,2023-12-31,0.01875
2023-12-31,CHINA-WAREHOUSE,MAT-0082,1944A,340560,CNY,2023-12-31,0.039925
2023-12-31,CHINA-WAREHOUSE,MAT-0082,2090A,213250,CNY,2023-12-31,0.025
2023-12-31,CHINA-WAREHOUSE,MAT-0082,9762A,895650,CNY,2023-12-31,0.105
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7599A,255900,CNY,2023-12-31,0.03
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7853A,277225,CNY,2023-12-31,0.0325
2023-12-31,CHINA-WAREHOUSE,MAT-0082,9359A,756398,CNY,2023-12-31,0.088675
2023-12-31,CHINA-WAREHOUSE,MAT-0082,3782A,575775,CNY,2023-12-31,0.0675
2023-12-31,CHINA-WAREHOUSE,MAT-0082,8111A,95963,CNY,2023-12-31,0.01125
2023-12-31,CHINA-WAREHOUSE,MAT-0196,3198A,7677,CNY,2023-12-31,0.0009
2023-12-31,CHINA-WAREHOUSE,MAT-0196,9509A,405175,CNY,2023-12-31,0.0475
2023-12-31,CHINA-WAREHOUSE,MAT-0196,6985A,255900,CNY,2023-12-31,0.03
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3423A,298550,CNY,2023-12-31,0.035
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3484A,447185,CNY,2023-12-31,0.052425
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3322A,53313,CNY,2023-12-31,0.00625
2023-12-31,CHINA-WAREHOUSE,MAT-0047,8958A,9596,CNY,2023-12-31,0.001125
2023-12-31,CHINA-WAREHOUSE,MAT-0047,2945A,916122,CNY,2023-12-31,0.1074
2023-12-31,CHINA-WAREHOUSE,MAT-0047,4889A,351436,CNY,2023-12-31,0.0412
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3314A,21325,CNY,2023-12-31,0.0025
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3532A,10663,CNY,2023-12-31,0.00125
2023-12-31,CHINA-WAREHOUSE,MAT-0047,6746A,511800,CNY,2023-12-31,0.06
2023-12-31,CHINA-WAREHOUSE,MAT-0047,1825A,725050,CNY,2023-12-31,0.085
2023-12-31,CHINA-WAREHOUSE,MAT-0047,4531A,863663,CNY,2023-12-31,0.10125
2023-12-31,CHINA-WAREHOUSE,MAT-0047,7900A,853000,CNY,2023-12-31,0.1
2023-12-31,CHINA-WAREHOUSE,MAT-0047,9845A,767700,CNY,2023-12-31,0.09
2023-12-31,CHINA-WAREHOUSE,MAT-0047,2751A,159938,CNY,2023-12-31,0.01875
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3175A,42650,CNY,2023-12-31,0.005
2023-12-31,CHINA-WAREHOUSE,MAT-0094,2542A,1674,CNY,2023-12-31,0.0018
2023-12-31,CHINA-WAREHOUSE,MAT-0258,SCRAP,58879,CNY,2023-12-31,0.010048
2023-12-31,CHINA-WAREHOUSE,MAT-0259,9061A,2826,CNY,2023-12-31,0.0009
2023-12-31,CHINA-WAREHOUSE,MAT-0259,6906A,2355,CNY,2023-12-31,0.00075
2023-12-31,CHINA-WAREHOUSE,MAT-0259,8447A,17270,CNY,2023-12-31,0.0
2023-12-31,CHINA-WAREHOUSE,MAT-0259,4875A,62800,CNY,2023-12-31,0.02
2023-12-31,CHINA-WAREHOUSE,MAT-0259,9735A,121597,CNY,2023-12-31,0.038725
2023-12-31,CHINA-WAREHOUSE,MAT-0259,1458B,3690,CNY,2023-12-31,0.001175
2023-12-31,CHINA-WAREHOUSE,MAT-0259,9226A,3768,CNY,2023-12-31,0.0012
2023-12-31,CHINA-WAREHOUSE,MAT-0259,1423A,141300,CNY,2023-12-31,0.045
2023-12-31,CHINA-WAREHOUSE,MAT-0259,3487A,141300,CNY,2023-12-31,0.045
2023-12-31,CHINA-WAREHOUSE,MAT-0098,9004A,97953,CNY,2023-12-31,0.043925
2023-12-31,CHINA-WAREHOUSE,MAT-0098,8715A,349162,CNY,2023-12-31,0.156575
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M6854B,5160,CNY,2023-12-31,0.0012
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M7450B,106425,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3678A,5913,CNY,2023-12-31,0.001375
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8356B,29563,CNY,2023-12-31,0.006875
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M6577A,248325,CNY,2023-12-31,0.05775
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M7346A,366253,CNY,2023-12-31,0.085175
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8769C,165335,CNY,2023-12-31,0.03845
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8164A,354750,CNY,2023-12-31,0.0825
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M5829B,354750,CNY,2023-12-31,0.0825
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M1528C,47300,CNY,2023-12-31,0.011
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M2486A,65038,CNY,2023-12-31,0.015125
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3791B,41388,CNY,2023-12-31,0.009625
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M5597B,248325,CNY,2023-12-31,0.05775
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M9152A,106318,CNY,2023-12-31,0.024725
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M9486B,70950,CNY,2023-12-31,0.0165
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8201C,76863,CNY,2023-12-31,0.017875
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M2579A,124163,CNY,2023-12-31,0.028875
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M4688B,112338,CNY,2023-12-31,0.026125
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M6726C,354750,CNY,2023-12-31,0.0825
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M7918A,100513,CNY,2023-12-31,0.023375
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M9252C,65038,CNY,2023-12-31,0.015125
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M1995C,331100,CNY,2023-12-31,0.077
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3007A,390225,CNY,2023-12-31,0.09075
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8070B,378400,CNY,2023-12-31,0.088
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3971C,106425,CNY,2023-12-31,0.02475
2023-12-31,CHINA-WAREHOUSE,MAT-0375,P9558A,1287,CNY,2023-12-31,0.000225
2023-12-31,CHINA-WAREHOUSE,MAT-0375,P5154A,396,CNY,2023-12-31,0.0
2023-12-31,CHINA-WAREHOUSE,MAT-0376,P8018A,0,CNY,2023-12-31,0.001175
2023-12-31,CHINA-WAREHOUSE,MAT-0376,P6453A,0,CNY,2023-12-31,0.0015
2023-12-31,CHINA-WAREHOUSE,MAT-0312,P3115A,3861,CNY,2023-12-31,0.000975
2023-12-31,CHINA-WAREHOUSE,MAT-0312,P9167A,124542,CNY,2023-12-31,0.03135
2023-12-31,CHINA-WAREHOUSE,MAT-0233,P5822A,2376,CNY,2023-12-31,0.0006
2023-12-31,CHINA-WAREHOUSE,MAT-0233,P4793A,11880,CNY,2023-12-31,0.003
2023-12-31,CHINA-WAREHOUSE,MAT-0233,P7722A,11880,CNY,2023-12-31,0.003
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P9024A,13338,CNY,2023-12-31,0.001325
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P6100A,477360,CNY,2023-12-31,0.0509
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P4150A,926640,CNY,2023-12-31,0.0989
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P6717A,10296,CNY,2023-12-31,0.0011
2023-12-31,CHINA-WAREHOUSE,MAT-0197,P2939A,638,CNY,2023-12-31,0.000125
2023-12-31,CHINA-WAREHOUSE,MAT-0198,1531,3533,CNY,2023-12-31,0.001125
2023-12-31,CHINA-WAREHOUSE,MAT-0198,4076,4239,CNY,2023-12-31,0.00135
2023-12-31,CHINA-WAREHOUSE,MAT-0198,5584,1884,CNY,2023-12-31,0.0006
2023-12-31,CHINA-WAREHOUSE,MAT-0198,7994,18291,CNY,2023-12-31,0.000325
2023-12-31,CHINA-WAREHOUSE,MAT-0198,8776,4082,CNY,2023-12-31,0.0013
2023-12-31,CHINA-WAREHOUSE,MAT-0198,6338,3376,CNY,2023-12-31,0.001075
2023-12-31,CHINA-WAREHOUSE,MAT-0198,1073,8321,CNY,2023-12-31,0.00265
2023-12-31,CHINA-WAREHOUSE,MAT-0198,8336,239975,CNY,2023-12-31,0.076425
2023-12-31,CHINA-WAREHOUSE,MAT-0198,4423,140908,CNY,2023-12-31,0.044875
2023-12-31,CHINA-WAREHOUSE,MAT-0198,2101,64449,CNY,2023-12-31,0.020525
